Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1926, 1933]	америка	Q30	США	P6	глава правительства	Герберт Гувер	0	0	1929-03-04	1933-03-04	0
[1941, 1946]	америка	Q30	США	P6	глава правительства	Трумэн, Гарри	0	0	1945-04-12	1953-01-20	0
[1926, 1933]	америка	Q30	США	P6	глава правительства	Кулидж, Джон Калвин	0	0	1923-08-02	1929-03-04	0
[1926, 1933]	америка	Q48229	Америка	P577	дата публикации	0	0	1927-01-01	0	0	0
[1926, 1933]	америка	Q30	США	P85	гимн	Знамя, усыпанное звёздами	0	0	1931-03-03	0	0
[1923, 1924]	америка	Q30	США	P6	глава правительства	Уоррен Гардинг	0	0	1921-03-04	1923-08-02	0
[1976, 1978]	америка	Q30	США	P6	глава правительства	Джеральд Форд	0	0	1974-08-09	1977-01-20	0
[1960, 1964]	америка	Q30	США	P6	глава правительства	Дуайт Дэвид Эйзенхауэр	0	0	1953-01-20	1961-01-20	0
[1981, 1985]	америка	Q30	США	P6	глава правительства	Джимми Картер	0	0	1977-01-20	1981-01-20	0
[1941, 1946]	америка	Q30	США	P6	глава правительства	Франклин Делано Рузвельт	0	0	1933-03-04	1945-04-12	0
1943	америка	Q30	США	P6	глава правительства	Бенджамин Гаррисон	0	0	1889-03-04	1893-03-04	0
1943	америка	Q30	США	P6	глава правительства	Гровер Кливленд	0	0	1893-03-04	1897-03-04	0
[1960, 1964]	америка	Q30	США	P463	участник организации или клуба	Международная ассоциация развития	0	0	1960-09-24	0	0
[1941, 1946]	америка	Q30	США	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1945-10-24	0	0
[1941, 1946]	америка	Q30	США	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1945-12-27	0	0
[1981, 1985]	америка	Q30	США	P463	участник организации или клуба	ЮНЕСКО	0	0	1946-11-04	1984-12-31	0
[1926, 1933]	америка	Q391987	Америка	P571	дата основания/создания/возникновения	0	0	1927-01-01	0	0	0
[1993, 1994]	ясный	Q282536	Ясна	P17	государство	Словакия	0	0	1993-01-01	0	0
1923	ясный	Q4539406	Ясное	P571	дата основания/создания/возникновения	0	0	1921-01-01	0	0	0
[1985, 1988]	япония	Q17	Япония	P463	участник организации или клуба	Австралийская группа	0	0	1985-01-01	0	0
[1985, 1988]	япония	Q17	Япония	P463	участник организации или клуба	Missile Technology Control Regime	0	0	1987-01-01	0	0
[2001, 2007]	андрей	Q19613197	Андрей	P570	дата смерти	0	0	2005-10-04	0	0	0
1946	андрей	Q24194	Шептицкий, Андрей	P570	дата смерти	0	0	1944-11-01	0	0	0
[1978, 1982]	андрей	Q60836672	Андрей	P569	дата рождения	0	0	1979-03-05	0	0	0
[1986, 2001]	александра	Q1485920	Александра	P569	дата рождения	0	0	1988-04-03	0	0	0
1995	александра	Q272905	Александра	P166	полученные награды	орден Слона	0	0	0	0	1995-01-01
[1926, 1933]	африка	Q136898	(1193) Африка	P575	дата открытия	0	0	1931-04-24	0	0	0
1929	анна	Q14621387	Анна	P571	дата основания/создания/возникновения	0	0	1928-01-01	0	0	0
[1988, 1997]	анна	Q564005	Анна	P577	дата публикации	0	0	1988-01-01	0	0	0
1996	анна	Q16351463	Анна	P577	дата публикации	0	0	1996-01-01	0	0	0
[1963, 1968]	азот	Q171639	Ашдод	P6	глава правительства	Robert Haim	0	0	1961-01-01	1963-01-01	0
[1963, 1968]	азот	Q171639	Ашдод	P6	глава правительства	Avner Garin	0	0	1963-01-01	1969-01-01	0
[1951, 1957]	азот	Q171639	Ашдод	P571	дата основания/создания/возникновения	0	0	1956-01-01	0	0	0
1941	актер	Q25585000	Убайдулло Раджабов	P569	дата рождения	0	0	1941-03-20	0	0	0
[1995, 2004]	актер	Q3230378	Актёры	P577	дата публикации	0	0	2000-01-01	0	0	0
[1995, 2004]	актер	Q616385	Актёры	P577	дата публикации	0	0	2003-01-01	0	0	0
1923	автомобиль	Q19127389	Автомобиль	P571	дата основания/создания/возникновения	0	0	1921-01-01	0	0	0
1939	артист	Q4070297	Артист	P577	дата публикации	0	0	1889-01-01	0	0	0
1939	артист	Q4070297	Артист	P571	дата основания/создания/возникновения	0	0	1889-01-01	0	0	0
[1989, 1993]	яйцо	Q15522608	Яйце	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[2007, 2009]	яйцо	Q1861857	Яйцо	P577	дата публикации	0	0	2007-01-01	0	0	0
[1995, 1996]	яйцо	Q1760818	Яйца	P166	полученные награды	Премия «Аманда» за лучший фильм	0	0	0	0	1995-01-01
[1995, 1996]	яйцо	Q1760818	Яйца	P577	дата публикации	0	0	1995-05-26	0	0	0
[1985, 2005]	агент	Q2052860	Агент	P577	дата публикации	0	0	1991-01-01	0	0	0
[1982, 1999]	акция	Q4060301	Акция	P577	дата публикации	0	0	1987-01-01	0	0	0
[2000, 2002]	ящик	Q16237372	Ящик	P577	дата публикации	0	0	2000-09-01	0	0	0
[2001, 2005]	атака	Q4071913	АтакА	P577	дата публикации	0	0	2004-01-01	0	0	0
[1994, 1995]	атака	Q2608576	Отачь	P31	это частный случай понятия	посёлок городского типа	0	0	1956-01-01	1994-01-01	0
[2004, 2009]	автомат	Q4826648	Автоматы	P577	дата публикации	0	0	2006-01-01	0	0	0
[1978, 1987]	американец	Q498438	Американцы	P840	история происходит в месте	Вашингтон	0	0	0	0	1980-01-01
[1993, 2007]	американец	Q844068	Американцы	P577	дата публикации	0	0	1993-02-04	0	0	0
[1988, 1992]	армения	Q132856	Армянская Советская Социалистическая Республика	P576	дата прекращения существования	0	0	1991-12-25	0	0	0
[1988, 1992]	армения	Q399	Армения	P571	дата основания/создания/возникновения	0	0	1991-09-23	0	0	0
[1989, 1993]	азербайджан	Q131337	Азербайджанская ССР	P576	дата прекращения существования	0	0	1991-10-17	0	0	0
[1989, 1993]	азербайджан	Q227	Азербайджан	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[1973, 1978]	академический	Q2315672	Академическая	P1619	дата официального открытия	0	0	1975-01-01	0	0	0
[1973, 1978]	академический	Q2315672	Академическая	P571	дата основания/создания/возникновения	0	0	1975-01-01	0	0	0
[1934, 1935]	австрия	Q518101	Первая Австрийская Республика	P31	это частный случай понятия	суверенное государство	0	0	1919-01-01	1934-01-01	0
[1991, 1996]	австрия	Q40	Австрия	P463	участник организации или клуба	Евроконтроль	0	0	1993-01-01	0	0
[1991, 1996]	австрия	Q40	Австрия	P463	участник организации или клуба	Missile Technology Control Regime	0	0	1991-01-01	0	0
[1991, 1996]	австрия	Q40	Австрия	P463	участник организации или клуба	Европейский союз	0	0	1995-01-01	0	0
[1991, 1996]	австрия	Q40	Австрия	P35	глава государства	Курт Вальдхайм	0	0	1986-07-08	1992-07-08	0
[1934, 1935]	австрия	Q176495	Федеральное государство Австрия	P571	дата основания/создания/возникновения	0	0	1934-05-01	0	0	0
[1934, 1935]	австрия	Q518101	Первая Австрийская Республика	P576	дата прекращения существования	0	0	1934-05-01	0	0	0
[1958, 1962]	австрия	Q40	Австрия	P463	участник организации или клуба	Международная ассоциация развития	0	0	1961-06-28	0	0
[1991, 1996]	австрия	Q40	Австрия	P530	дипломатические отношения	Грузия	0	0	1992-03-25	0	0
[1991, 1996]	австрия	Q40	Австрия	P530	дипломатические отношения	Украина	0	0	1992-01-24	0	0
[1923, 1926]	австрия	Q40	Австрия	P38	денежная единица	австрийский шиллинг	0	0	1925-03-01	1938-03-17	0
[2002, 2004]	австрия	Q40	Австрия	P38	денежная единица	австрийский шиллинг	0	0	1945-11-30	2002-01-01	0
[1958, 1962]	австрия	Q40	Австрия	P6	глава правительства	Рааб, Юлиус	0	0	1953-04-02	1961-04-11	0
[1958, 1962]	австрия	Q40	Австрия	P6	глава правительства	Горбах, Альфонс	0	0	1961-04-11	1964-02-25	0
[1991, 1996]	австрия	Q40	Австрия	P35	глава государства	Томас Клестиль	0	0	1992-07-08	2004-07-06	0
[1998, 2007]	алтай	Q5971	Республика Алтай	P6	глава правительства	Александр Васильевич Бердников	0	0	2006-01-20	2019-03-20	0
1992	алтай	Q5971	Республика Алтай	P131	административно-территориальная единица	Россия	0	0	1991-12-25	0	0
1992	алтай	Q5971	Республика Алтай	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1990-12-15	1991-12-25	0
2005	алтай	Q24729045	Алтай	P131	административно-территориальная единица	Обской сельсовет	0	0	2003-12-01	0	0
1992	алтай	Q5971	Республика Алтай	P571	дата основания/создания/возникновения	0	0	1990-10-25	0	0	0
1976	алгебра	Q2312834	Алгебра	P569	дата рождения	0	0	1976-01-01	0	0	0
1994	анатолий	Q21635498	Анатолий	P570	дата смерти	0	0	1894-02-06	0	0	0
[1988, 1998]	анатолий	Q12102630	Анатолий	P570	дата смерти	0	0	1997-10-28	0	0	0
1991	ангел	Q4761543	премия «Ангел»	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[1937, 1945]	ангел	Q589237	Ангел	P577	дата публикации	0	0	1937-01-01	0	0	0
[2007, 2009]	ангел	Q532064	Ангел	P577	дата публикации	0	0	2007-08-09	0	0	0
[2007, 2009]	ангел	Q532064	Ангел	P577	дата публикации	0	0	2007-01-01	0	0	0
[1999, 2001]	ангел	Q212156	Ангел	P580	дата начала	0	0	1999-10-05	0	0	0
[1999, 2001]	ангел	Q212156	Ангел	P577	дата публикации	0	0	1999-01-01	0	0	0
[2006, 2009]	архитектор	Q7714193	Архитектор	P577	дата публикации	0	0	2006-01-01	0	0	0
[1983, 1998]	адмирал	Q23024093	адмирал	P17	государство	СССР	0	0	1918-01-01	1992-01-01	0
[1983, 1998]	адмирал	Q23024093	адмирал	P17	государство	Россия	0	0	1992-01-01	0	0
[1951, 1954]	адмирал	Q13022901	Сурасак Харуньянгром	P569	дата рождения	0	0	1953-01-01	0	0	0
[1951, 1954]	адмирал	Q58114347	Ноппадол Чокрада	P569	дата рождения	0	0	1953-08-17	0	0	0
1938	авиационный	Q117834	Симфония № 16	P577	дата публикации	0	0	1936-01-01	0	0	0
[1971, 1975]	антон	Q4775632	Антон	P577	дата публикации	0	0	1973-01-01	0	0	0
[1924, 1928]	апр	Q855669	Американский народно-революционный альянс	P571	дата основания/создания/возникновения	0	0	1924-05-07	0	0	0
[1993, 1998]	апр	Q396170	Аграрная партия России	P571	дата основания/создания/возникновения	0	0	1993-01-01	0	0	0
2002	афганистан	Q889	Афганистан	P571	дата основания/создания/возникновения	0	0	2002-01-01	0	0	0
[1923, 1932]	афганистан	Q1138904	Королевство Афганистан	P571	дата основания/создания/возникновения	0	0	1926-06-09	0	0	0
[1923, 1932]	афганистан	Q889	Афганистан	P571	дата основания/создания/возникновения	0	0	1926-01-01	0	0	0
[1967, 1971]	арена	Q5221208	Арена	P577	дата публикации	0	0	1967-01-19	0	0	0
[1967, 1971]	арена	Q5221208	Арена	P1191	первое исполнение	0	0	1967-01-19	0	0	0
[1973, 1980]	арена	Q2745857	Альянс национального обновления	P576	дата прекращения существования	0	0	1979-12-20	0	0	0
[1967, 1971]	арена	Q4069001	Арена	P577	дата публикации	0	0	1967-01-01	0	0	0
[2005, 2006]	александров	Q103377	Александров	P131	административно-территориальная единица	Городское поселение город Александров	0	0	2005-01-01	0	0
[1976, 1980]	александров	Q149977	(2711) Александров	P575	дата открытия	0	0	1978-08-31	0	0	0
[1993, 2000]	яблоко	Q15332	Яблоко	P571	дата основания/создания/возникновения	0	0	1993-01-01	0	0	0
[2006, 2009]	яблоко	Q15332	Яблоко	P488	руководитель	Григорий Алексеевич Явлинский	0	0	1993-01-01	2008-01-01	0
[2006, 2009]	яблоко	Q15332	Яблоко	P488	руководитель	Митрохин, Сергей Сергеевич	0	0	2008-01-01	2015-01-01	0
[1983, 1991]	яблоко	Q3488828	Яблоко	P577	дата публикации	0	0	1988-02-15	0	0	0
[1948, 1951]	апостол	Q18235843	Апостол	P569	дата рождения	0	0	1948-07-14	0	0	0
2000	адвокат	Q946787	Адвокат	P577	дата публикации	0	0	1998-01-01	0	0	0
[1931, 1938]	атлас	Q621022	Атлас	P138	названо в честь	Атлант	0	0	1935-01-01	0	0
1931	авангард	Q889348	Урал	P571	дата основания/создания/возникновения	0	0	1930-01-01	0	0	0
[1999, 2009]	авангард	Q654857	Северо-Западный Телеком	P571	дата основания/создания/возникновения	0	0	2001-01-01	0	0	0
1950	авангард	Q787888	Авангард	P571	дата основания/создания/возникновения	0	0	1950-01-01	0	0	0
1923	авангард	Q20517511	Авангард	P571	дата основания/создания/возникновения	0	0	1923-01-01	0	0	0
[1923, 1927]	авангард	Q3585	Металлист	P1619	дата официального открытия	0	0	1926-09-12	0	0	0
[1999, 2009]	авангард	Q4189389	Звезда	P571	дата основания/создания/возникновения	0	0	2006-01-01	0	0	0
1950	авангард	Q4055331	Авангард	P571	дата основания/создания/возникновения	0	0	1949-01-01	0	0	0
[1996, 1997]	авангард	Q4055344	Авангард	P571	дата основания/создания/возникновения	0	0	1996-01-01	0	0	0
[1967, 1971]	авангард	Q2063902	Океан	P576	дата прекращения существования	0	0	1970-01-01	0	0	0
[1923, 1927]	авангард	Q207462	Металлист	P571	дата основания/создания/возникновения	0	0	1925-01-01	0	0	0
[1992, 2002]	якутия	Q1364772	Якутия	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1969, 1978]	авария	Q4672550	Авария	P577	дата публикации	0	0	1976-01-01	0	0	0
1990	авария	Q4055389	Авария	P577	дата публикации	0	0	1990-01-01	0	0	0
[1969, 1978]	авария	Q4055387	Авария	P577	дата публикации	0	0	1974-01-01	0	0	0
[1923, 1925]	яковлевич	Q6550199	Яковлевичи	P131	административно-территориальная единица	Горецкий уезд	0	0	1861-01-01	1924-01-01	0
[1923, 1925]	яковлевич	Q13134357	Яковлевичи	P131	административно-территориальная единица	Зубовский сельсовет	0	0	1924-07-17	0	0
[1940, 1941]	яковлевич	Q6550199	Яковлевичи	P131	административно-территориальная единица	Зубовский сельсовет	0	0	1940-01-01	0	0
[1932, 1936]	амур	Q1974896	Смена	P571	дата основания/создания/возникновения	0	0	1935-01-01	0	0	0
[1992, 2001]	амур	Q4064605	Амуры	P577	дата публикации	0	0	1994-09-29	0	0	0
[1992, 2001]	амур	Q4064605	Амуры	P577	дата публикации	0	0	1994-01-01	0	0	0
1932	амур	Q137114	(1221) Амур	P575	дата открытия	0	0	1932-03-12	0	0	0
[1957, 1961]	аул	Q2858004	Аулы	P31	это частный случай понятия	посёлок городского типа Украины	0	0	1958-06-01	0	0
[1923, 1930]	аул	Q2858004	Аулы	P131	административно-территориальная единица	Криничанский район	0	0	1923-03-07	0	0
[2005, 2009]	яблоня	Q21344946	Яблонь	P131	административно-территориальная единица	Вороновское сельское поселение	0	0	2005-01-01	0	0
[1992, 2005]	амурский	Q24684331	Амурский	P131	административно-территориальная единица	Лесной сельсовет	0	0	2003-12-01	0	0
1990	анекдот	Q4066163	Анекдоты	P577	дата публикации	0	0	1990-01-01	0	0	0
[1986, 1992]	альтернатива	Q55505970	Альтернатива	P577	дата публикации	0	0	1986-01-01	0	0	0
2002	абзац	Q4054721	Абзац	P571	дата основания/создания/возникновения	0	0	2001-01-01	0	0	0
1936	аристотель	Q128108	Аристотель	P138	названо в честь	Аристотель	0	0	1935-01-01	0	0
[1937, 1946]	ярость	Q14786561	Ярость	P840	история происходит в месте	Германия	0	0	0	0	1945-01-01
[1965, 1969]	ярость	Q16723458	Ярость	P577	дата публикации	0	0	1966-01-01	0	0	0
1986	арсенал	Q9617	Арсенал	P571	дата основания/создания/возникновения	0	0	1886-01-01	0	0	0
[1996, 2006]	арсенал	Q9617	Арсенал	P166	полученные награды	BBC Sports Personality Team of the Year Award	0	0	0	0	1998-01-01
[1933, 1935]	арсенал	Q9617	Арсенал	P286	тренер	Чепмен, Герберт	0	0	1925-06-11	1934-01-06	0
[1996, 2006]	арсенал	Q2382113	Арсенал	P571	дата основания/создания/возникновения	0	0	1998-01-01	0	0	0
[1933, 1935]	арсенал	Q44295	Арсенал-Киев	P571	дата основания/создания/возникновения	0	0	1934-01-01	0	0	0
[1996, 2006]	арсенал	Q9617	Арсенал	P286	тренер	Арсен Венгер	0	0	1996-10-01	2018-05-21	0
[1993, 1994]	аня	Q2032524	Ане	P1435	статус наследия	исторический памятник классифицированный	0	0	1993-03-25	0	0
[1961, 1979]	ас	Q4071386	Асов, Александр Игоревич	P569	дата рождения	0	0	1964-06-29	0	0	0
[1988, 2005]	антропология	Q4067621	Антропология	P582	дата окончания	0	0	2001-04-11	0	0	0
[1988, 2005]	антропология	Q4067621	Антропология	P272	производящая компания	НТВ	0	0	0	0	1999-01-01
[1988, 2005]	антропология	Q4067621	Антропология	P580	дата начала	0	0	1997-08-28	0	0	0
[1988, 2005]	антропология	Q4067621	Антропология	P272	производящая компания	Телеэкспо	0	0	0	0	1997-01-01
[1988, 2005]	антропология	Q4067621	Антропология	P449	первоначальная телесеть	Телеэкспо	0	0	0	0	1997-01-01
[1937, 1939]	астрахань	Q3927	Астрахань	P1376	является столицей	Астраханский округ	0	0	1937-07-16	1943-12-27	0
[1990, 1998]	астрахань	Q3927	Астрахань	P17	государство	Россия	0	0	1991-12-25	0	0
[1990, 1998]	астрахань	Q3927	Астрахань	P17	государство	СССР	0	0	1922-12-30	1991-12-25	0
1947	астрахань	Q2310593	Астрахань	P1619	дата официального открытия	0	0	1945-01-01	0	0	0
[1931, 1932]	астрахань	Q2919650	Астрахань	P571	дата основания/создания/возникновения	0	0	1931-01-01	0	0	0
[1937, 1939]	астрахань	Q3927	Астрахань	P131	административно-территориальная единица	Астраханский округ	0	0	1937-07-17	1943-12-26	0
1935	астрахань	Q3927	Астрахань	P131	административно-территориальная единица	Сталинградский край	0	0	1934-01-10	1936-12-05	0
1935	астрахань	Q3927	Астрахань	P131	административно-территориальная единица	Нижне-Волжский край	0	0	1930-07-31	1934-01-10	0
[1937, 1939]	астрахань	Q3927	Астрахань	P131	административно-территориальная единица	Волгоградская область	0	0	1936-12-06	1937-07-16	0
[1923, 1926]	аркадий	Q11561	(1020) Аркадия	P575	дата открытия	0	0	1924-03-07	0	0	0
[1989, 2002]	архангельск	Q1851	Архангельск	P17	государство	СССР	0	0	1922-12-30	1991-12-25	0
[1983, 1987]	архангельск	Q1851	Архангельск	P166	полученные награды	орден Ленина	0	0	0	0	1984-01-01
[1989, 2002]	архангельск	Q1851	Архангельск	P17	государство	Россия	0	0	1991-12-26	0	0
1924	ярославль	Q2423	Ярославль	P17	государство	Российская Социалистическая Федеративная Советская Республика	0	0	1917-11-07	1922-12-30	0
1924	ярославль	Q2423	Ярославль	P17	государство	СССР	0	0	1922-12-30	1991-12-25	0
[1989, 2001]	ярославль	Q2423	Ярославль	P17	государство	Россия	0	0	1991-12-25	0	0
[1928, 1930]	арка	Q666969	Арка	P571	дата основания/создания/возникновения	0	0	1929-01-01	0	0	0
[1982, 1984]	ахматова	Q150778	(3067) Ахматова	P575	дата открытия	0	0	1982-10-14	0	0	0
[1961, 1969]	ахматова	Q80440	Анна Андреевна Ахматова	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1966-01-01
1989	ахматова	Q80440	Анна Андреевна Ахматова	P569	дата рождения	0	0	1889-06-23	0	0	0
[1961, 1969]	ахматова	Q80440	Анна Андреевна Ахматова	P2032	окончание периода активности	0	0	1966-01-01	0	0	0
[1961, 1969]	ахматова	Q80440	Анна Андреевна Ахматова	P570	дата смерти	0	0	1966-03-05	0	0	0
[1961, 1969]	ахматова	Q80440	Анна Андреевна Ахматова	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1965-01-01
[2008, 2009]	арктика	Q673835	Арктика	P137	обслуживающее лицо	Атомфлот	0	0	2008-01-01	0	0
[1923, 1925]	арктика	Q121464	(1031) Арктика	P575	дата открытия	0	0	1924-06-06	0	0	0
[1954, 1963]	арктика	Q4069477	Арктика	P31	это частный случай понятия	фирменный поезд	0	0	1960-01-01	1995-01-01	0
[1954, 1963]	арктика	Q4069477	Арктика	P571	дата основания/создания/возникновения	0	0	1960-01-01	0	0	0
1925	александровский	Q883	Новосибирск	P1376	является столицей	Новониколаевский уезд	0	0	1917-01-01	1925-05-25	0
1925	александровский	Q883	Новосибирск	P131	административно-территориальная единица	Новониколаевская губерния	0	0	1921-06-13	1925-05-24	0
[1989, 2003]	александровский	Q883	Новосибирск	P17	государство	СССР	0	0	1922-12-30	1991-12-24	0
1925	александровский	Q883	Новосибирск	P1376	является столицей	Новосибирский округ	0	0	1925-05-25	1930-07-29	0
[1989, 2003]	александровский	Q883	Новосибирск	P17	государство	Россия	0	0	1991-12-25	0	0
1925	александровский	Q883	Новосибирск	P131	административно-территориальная единица	Новосибирский округ	0	0	1925-05-25	1930-07-29	0
1962	алжир	Q3561	Алжир	P17	государство	Французский Алжир	0	0	1830-01-01	1962-01-01	0
[1930, 1933]	алжир	Q137048	(1213) Алжир	P575	дата открытия	0	0	1931-12-05	0	0	0
[1999, 2004]	алжир	Q262	Алжир	P35	глава государства	Абдель Азиз Бутефлика	0	0	1999-04-15	2019-04-02	0
1962	алжир	Q3561	Алжир	P131	административно-территориальная единица	Алжир	0	0	1962-01-01	0	0
1962	алжир	Q218272	Французский Алжир	P576	дата прекращения существования	0	0	1962-01-01	0	0	0
[1956, 1965]	алжир	Q262	Алжир	P463	участник организации или клуба	Международный союз электросвязи	0	0	1963-05-03	0	0
1962	алжир	Q3561	Алжир	P131	административно-территориальная единица	Французский Алжир	0	0	1830-01-01	1962-01-01	0
1962	алжир	Q3561	Алжир	P17	государство	Алжир	0	0	1962-01-01	0	0
1962	алжир	Q3561	Алжир	P31	это частный случай понятия	столица	0	0	1962-01-01	0	0
[1999, 2004]	алжир	Q262	Алжир	P37	официальный язык	берберские языки	0	0	2002-01-01	0	0
1962	алжир	Q262	Алжир	P463	участник организации или клуба	Лига арабских государств	0	0	1962-08-16	0	0
[1956, 1965]	алжир	Q262	Алжир	P463	участник организации или клуба	Африканский союз	0	0	1963-05-25	0	0
[1956, 1965]	алжир	Q262	Алжир	P463	участник организации или клуба	Международная ассоциация развития	0	0	1963-09-26	0	0
1962	алжир	Q3561	Алжир	P1376	является столицей	Французский Алжир	0	0	1830-01-01	1962-01-01	0
1962	алжир	Q3561	Алжир	P1376	является столицей	Алжир	0	0	1962-01-01	0	0
1962	алжир	Q218272	Французский Алжир	P31	это частный случай понятия	колония	0	0	1830-01-01	1962-01-01	0
1962	алжир	Q262	Алжир	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1962-10-08	0	0
1962	алжир	Q262	Алжир	P571	дата основания/создания/возникновения	0	0	1962-01-01	0	0	0
[1956, 1965]	алжир	Q262	Алжир	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1963-09-26	0	0
1962	алжир	Q262	Алжир	P463	участник организации или клуба	ЮНЕСКО	0	0	1962-10-15	0	0
[1953, 1971]	аэропорт	Q409022	Аэропорт	P1411	номинирован на	премия «Оскар» за лучший фильм	0	0	0	0	1970-01-01
[1953, 1971]	аэропорт	Q409022	Аэропорт	P577	дата публикации	0	0	1970-03-30	0	0	0
[1953, 1971]	аэропорт	Q409022	Аэропорт	P577	дата публикации	0	0	1970-03-25	0	0	0
[1931, 1941]	аэропорт	Q2547885	Аэропорт	P571	дата основания/создания/возникновения	0	0	1938-09-11	0	0	0
[1953, 1971]	аэропорт	Q2604087	Аэропорт	P577	дата публикации	0	0	1968-01-01	0	0	0
[1953, 1971]	аэропорт	Q409022	Аэропорт	P577	дата публикации	0	0	1970-03-05	0	0	0
[1931, 1941]	аэропорт	Q2547885	Аэропорт	P1619	дата официального открытия	0	0	1938-09-11	0	0	0
[1931, 1941]	аэропорт	Q4073683	Аэропорт	P1249	первое письменное упоминание	0	0	1931-01-01	0	0	0
2004	аэропорт	Q14822030	Аэропорт	P1619	дата официального открытия	0	0	2004-01-01	0	0	0
2004	аэропорт	Q14822030	Аэропорт	P571	дата основания/создания/возникновения	0	0	2004-01-01	0	0	0
[1982, 1990]	афанасий	Q3920711	Афанасий	P570	дата смерти	0	0	1983-11-03	0	0	0
1945	афанасий	Q56309976	Афанасий	P570	дата смерти	0	0	1943-12-14	0	0	0
[1923, 1930]	афанасий	Q3920711	Афанасий	P69	учебное заведение	Варшавский университет	0	0	1926-01-01	1930-01-01	0
[1936, 1937]	афанасий	Q3680770	Афанасий	P569	дата рождения	0	0	1936-02-04	0	0	0
[1980, 1984]	артур	Q627438	Артур	P577	дата публикации	0	0	1981-07-17	0	0	0
[1980, 1984]	артур	Q523820	(2597) Артур	P575	дата открытия	0	0	1980-08-08	0	0	0
[1980, 1984]	артур	Q627438	Артур	P577	дата публикации	0	0	1982-01-22	0	0	0
1942	артур	Q160558	Артур, герцог Коннаутский	P570	дата смерти	0	0	1942-01-16	0	0	0
