Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	Герой Советского Союза	0	0	0	0	1961-04-14
1962	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Звезды Африки	0	0	0	0	1962-02-06
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P410	воинское звание	старший лейтенант	0	0	1959-11-06	1961-04-12	0
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Ленина	0	0	0	0	1961-04-14
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	Герой Социалистического Труда ЧССР	0	0	0	0	1961-04-29
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P410	воинское звание	лейтенант	0	0	1957-11-05	1959-11-06	0
[1951, 1952]	гагарин	Q7327	Юрий Алексеевич Гагарин	P69	учебное заведение	Саратовский индустриальный техникум	0	0	1951-08-01	0	0
1962	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	Герой Труда	0	0	0	0	1962-04-28
[1961, 1965]	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Карла Маркса	0	0	0	0	1963-10-22
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Знамени	0	0	0	0	1961-08-21
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	национальный орден Плайя-Хирон	0	0	0	0	1961-07-18
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1961-05-24
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P410	воинское звание	майор	0	0	1961-04-12	1962-06-12	0
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден «Крест Грюнвальда» I класса	0	0	0	0	1961-06-20
1993	гагаринский	Q2424871	Гагаринская	P1619	дата официального открытия	0	0	1993-12-26	0	0	0
1993	гагаринский	Q2278516	Гагаринская	P1619	дата официального открытия	0	0	1992-01-01	0	0	0
1993	гагаринский	Q2424871	Гагаринская	P571	дата основания/создания/возникновения	0	0	1993-01-01	0	0	0
1993	гагаринский	Q2278516	Гагаринская	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1990, 1999]	гагаузия	Q2504040	Республика Гагаузия	P576	дата прекращения существования	0	0	1994-12-23	0	0	0
[1990, 1999]	гагаузия	Q2504040	Республика Гагаузия	P571	дата основания/создания/возникновения	0	0	1990-08-19	0	0	0
[1990, 1999]	гагаузия	Q164819	Гагаузия	P571	дата основания/создания/возникновения	0	0	1994-12-23	0	0	0
[1990, 1999]	гагаузия	Q2445419	Гагаузия	P571	дата основания/создания/возникновения	0	0	1996-01-01	0	0	0
2000	гаггенау	Q504451	Гаггенау	P463	участник организации или клуба	Climate Alliance	0	0	1998-01-01	0	0
1952	гагерн	Q67224	Гагерн, Ганс Христофор Эрнст	P570	дата смерти	0	0	1852-10-22	0	0	0
[2003, 2009]	гагра	Q376846	Гагра	P571	дата основания/создания/возникновения	0	0	2004-01-01	0	0	0
1993	гагра	Q4131450	Гагра	P571	дата основания/создания/возникновения	0	0	1943-01-01	0	0	0
1993	гагра	Q4131450	Гагра	P1619	дата официального открытия	0	0	1943-01-01	0	0	0
1932	гагра	Q44811	Гагра	P131	административно-территориальная единица	Социалистическая Советская Республика Абхазия	0	0	1921-03-26	1931-02-18	0
1932	гагра	Q44811	Гагра	P131	административно-территориальная единица	Абхазская Автономная Советская Социалистическая Республика	0	0	1931-02-19	1990-01-01	0
1996	гадамер	Q76356	Ганс Георг Гадамер	P463	участник организации или клуба	Саксонская академия наук	0	0	1947-10-01	1996-01-12	0
1996	гадамер	Q76356	Ганс Георг Гадамер	P463	участник организации или клуба	Саксонская академия наук	0	0	1996-01-12	0	0
[1971, 1973]	гадамер	Q76356	Ганс Георг Гадамер	P166	полученные награды	премия Рейхлина	0	0	0	0	1971-01-01
[1983, 1987]	гадамер	Q76356	Ганс Георг Гадамер	P166	полученные награды	Премия Карла Ясперса	0	0	0	0	1986-01-01
[1976, 1981]	гадамер	Q76356	Ганс Георг Гадамер	P166	полученные награды	Гегелевская премия	0	0	0	0	1979-01-01
[1976, 1981]	гадамер	Q76356	Ганс Георг Гадамер	P166	полученные награды	премия Зигмунда Фрейда за научную прозу	0	0	0	0	1979-01-01
[2002, 2003]	гадамер	Q76356	Ганс Георг Гадамер	P570	дата смерти	0	0	2002-03-13	0	0	0
[1991, 2000]	гадамер	Q76356	Ганс Георг Гадамер	P166	полученные награды	Большой крест ордена «За заслуги перед Федеративной Республикой Германия»	0	0	0	0	1993-01-01
1997	гадамер	Q76356	Ганс Георг Гадамер	P463	участник организации или клуба	Саксонская академия наук	0	0	1940-06-15	1947-10-01	0
1993	гаджо	Q15270543	Гаджо	P577	дата публикации	0	0	1992-01-01	0	0	0
2004	гадло	Q4131559	Гадло, Александр Вильямович	P570	дата смерти	0	0	2002-04-13	0	0	0
1992	гадрут	Q157919	Гадрут	P131	административно-территориальная единица	Гадрутский район	0	0	1930-08-08	1991-11-26	0
1992	гадрут	Q157919	Гадрут	P131	административно-территориальная единица	Ходжавендский район	0	0	1991-11-26	0	0
[1939, 1941]	гадфильд	Q3435328	Гадфильд	P570	дата смерти	0	0	1940-09-30	0	0	0
[1931, 1937]	гадфильд	Q3435328	Гадфильд	P166	полученные награды	медаль Альберта	0	0	0	0	1935-01-01
[1926, 1930]	гадюка	Q4131574	Гадюка	P577	дата публикации	0	0	1928-01-01	0	0	0
[1993, 1997]	гадюка	Q2527575	Смертельный змей	P577	дата публикации	0	0	1994-01-01	0	0	0
[1926, 1930]	гадюка	Q4131574	Гадюка	P571	дата основания/создания/возникновения	0	0	1928-01-01	0	0	0
[1923, 1924]	гадяч	Q268638	Гадяч	P131	административно-территориальная единица	Гадячский уезд	0	0	1781-01-01	1923-03-07	0
[1930, 1932]	гаев	Q4131588	Гаева, Радка Петрова	P569	дата рождения	0	0	1930-05-04	0	0	0
[1958, 1965]	гаевой	Q4131604	Гаевое	P571	дата основания/создания/возникновения	0	0	1963-01-01	0	0	0
[1962, 1965]	гажиу	Q554722	Валериу Георгиевич Гажиу	P69	учебное заведение	Всероссийский государственный институт кинематографии имени С. А. Герасимова	0	0	1958-01-01	1963-01-01	0
[1967, 1968]	газ	Q47492	Газа	P17	государство	Израиль	0	0	1967-01-01	2005-01-01	0
[1974, 1979]	газ	Q921626	(2388) Газе	P575	дата открытия	0	0	1977-03-13	0	0	0
[1967, 1968]	газ	Q47492	Газа	P17	государство	Египет	0	0	1948-01-01	1967-01-01	0
1931	газ	Q586758	Газах	P131	административно-территориальная единица	Газахский район	0	0	1930-08-08	0	0
1931	газ	Q586758	Газах	P131	административно-территориальная единица	Казахский уезд	0	0	1867-12-09	1929-01-01	0
1958	газаров	Q4131637	Газаров, Сергей Ишханович	P569	дата рождения	0	0	1958-01-13	0	0	0
[1970, 1974]	газель	Q2576626	Газель	P571	дата основания/создания/возникновения	0	0	1972-05-16	0	0	0
[1923, 1929]	гази	Q1521498	Гази	P1619	дата официального открытия	0	0	1923-01-01	0	0	0
1945	газин	Q4131699	Газин, Василий Петрович	P570	дата смерти	0	0	1944-07-18	0	0	0
1930	газометр	Q515921	Газометр в Оберхаузене	P571	дата основания/создания/возникновения	0	0	1929-01-01	0	0	0
[1992, 1999]	газонокосильщик	Q1196384	Газонокосильщик	P577	дата публикации	0	0	1992-03-06	0	0	0
[1992, 1999]	газонокосильщик	Q1196384	Газонокосильщик	P577	дата публикации	0	0	1992-07-23	0	0	0
1960	газопровод	Q4131752	Газопровод	P571	дата основания/создания/возникновения	0	0	1960-01-01	0	0	0
[1987, 2004]	газпром	Q102673	Газпром	P169	генеральный директор	Миллер, Алексей Борисович	0	0	2001-01-01	0	0
[1987, 2004]	газпром	Q102673	Газпром	P571	дата основания/создания/возникновения	0	0	1989-01-01	0	0	0
1997	газпром	Q102673	Газпром	P414	биржа	Лондонская фондовая биржа	0	0	1996-10-28	0	0
[1996, 1997]	газэнергопромбанк	Q4131812	Газэнергопромбанк	P571	дата основания/создания/возникновения	0	0	1996-01-01	0	0	0
[2004, 2006]	гаи	Q18772052	Гаи	P131	административно-территориальная единица	Нижнеломовский район	0	0	1928-07-16	2004-11-01	0
[2004, 2006]	гаи	Q18772052	Гаи	P131	административно-территориальная единица	Норовский сельсовет	0	0	2004-11-02	0	0
[1985, 1987]	гаип	Q4131844	Гаипов, Рузмет Гаипович	P570	дата смерти	0	0	1985-03-25	0	0	0
[1957, 1962]	гаити	Q790	Республика Гаити	P463	участник организации или клуба	Международная ассоциация развития	0	0	1961-06-13	0	0
[1923, 1929]	гаити	Q790	Республика Гаити	P463	участник организации или клуба	Международный союз электросвязи	0	0	1927-10-10	0	0
[1931, 1935]	гаиш	Q1853182	Государственный астрономический институт им. П. К. Штернберга	P571	дата основания/создания/возникновения	0	0	1931-01-01	0	0	0
[2004, 2009]	гай	Q4131869	Гай	P131	административно-территориальная единица	Кыйлудское сельское поселение	0	0	2005-01-01	0	0
[1980, 1981]	гай	Q2655164	Гае	P571	дата основания/создания/возникновения	0	0	1980-01-01	0	0	0
[1980, 1981]	гай	Q2655164	Гае	P1619	дата официального открытия	0	0	1980-11-07	0	0	0
1969	гайана	Q734	Гайана	P463	участник организации или клуба	ЮНЕСКО	0	0	1967-03-21	0	0
1969	гайана	Q734	Гайана	P463	участник организации или клуба	Международный союз электросвязи	0	0	1967-03-08	0	0
[1968, 1973]	гайана	Q5622720	Гайана	P31	это частный случай понятия	королевство Содружества	0	0	1966-01-01	1970-01-01	0
1969	гайана	Q734	Гайана	P463	участник организации или клуба	Международная финансовая корпорация	0	0	1967-01-04	0	0
1969	гайана	Q734	Гайана	P463	участник организации или клуба	Международный центр по урегулированию инвестиционных споров	0	0	1969-08-10	0	0
1969	гайана	Q734	Гайана	P463	участник организации или клуба	Международная ассоциация развития	0	0	1967-01-04	0	0
[1965, 1966]	гайана	Q734	Гайана	P463	участник организации или клуба	Caribbean Free Trade Association	0	0	1965-12-15	1974-05-01	0
[1968, 1973]	гайана	Q5622720	Гайана	P576	дата прекращения существования	0	0	1970-02-23	0	0	0
1973	гайана	Q734	Гайана	P463	участник организации или клуба	Карибское сообщество	0	0	1973-08-01	0	0
[1974, 1977]	гайдарбек	Q897774	Гайдарбек Абдулаевич Гайдарбеков	P569	дата рождения	0	0	1976-10-06	0	0	0
[1994, 1996]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Маккаби	0	0	1994-01-01	1994-01-01	0
[1994, 1996]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Маккаби	0	0	1995-01-01	1996-01-01	0
[2004, 2005]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Таврия	0	0	2001-01-01	2004-01-01	0
[1994, 1996]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Сарыер	0	0	1993-01-01	1994-01-01	0
[1986, 1987]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Таврия	0	0	1986-01-01	1993-01-01	0
[1986, 1987]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Шахтёр	0	0	1985-01-01	1986-01-01	0
[1994, 1996]	гайдаш	Q2470967	Александр Николаевич Гайдаш	P54	член спортивной команды	Таврия	0	0	1994-01-01	1999-01-01	0
[1972, 1974]	гайдн	Q1046641	(3941) Гайдн	P575	дата открытия	0	0	1973-10-27	0	0	0
1943	гайзенберг	Q40904	Вернер Гейзенберг	P463	участник организации или клуба	Саксонская академия наук	0	0	1930-07-01	1942-10-01	0
[1946, 1947]	гайзенберг	Q40904	Вернер Гейзенберг	P2632	место содержания под стражей	Farm Hall	0	0	1945-07-03	1946-01-03	0
[1972, 1979]	гайзенберг	Q40904	Вернер Гейзенберг	P570	дата смерти	0	0	1976-02-01	0	0	0
1943	гайзенберг	Q40904	Вернер Гейзенберг	P463	участник организации или клуба	Саксонская академия наук	0	0	1942-10-01	0	0
[1935, 1936]	гайк	Q138316	(1358) Гайка	P575	дата открытия	0	0	1935-07-21	0	0	0
[1971, 1972]	гайка	Q826623	(1995) Гаек	P575	дата открытия	0	0	1971-10-26	0	0	0
[1924, 1926]	гайн	Q11171181	Гайна	P131	административно-территориальная единица	Борисовский уезд	0	0	1796-01-01	1924-01-01	0
[1924, 1926]	гайн	Q11171181	Гайна	P131	административно-территориальная единица	Гайненский сельсовет	0	0	1924-01-01	0	0
[1959, 1960]	гайнутдин	Q1397219	Равиль Исмагилович Гайнутдин	P569	дата рождения	0	0	1959-08-25	0	0	0
[1973, 1978]	гайрать	Q15686121	Гайрати	P570	дата смерти	0	0	1976-01-22	0	0	0
[1994, 1999]	гайс	Q419157	Гайс	P463	участник организации или клуба	Climate Alliance	0	0	1994-01-01	0	0
[1923, 1925]	гайсин	Q574553	Гайсин	P131	административно-территориальная единица	Гайсинский округ	0	0	1923-03-07	1925-06-03	0
[1923, 1925]	гайсин	Q574553	Гайсин	P131	административно-территориальная единица	Гайсинский уезд	0	0	1795-01-01	1923-03-07	0
[1987, 1992]	гайсинович	Q4132071	Гайсинович, Абба Евсеевич	P570	дата смерти	0	0	1989-07-30	0	0	0
[2001, 2006]	гайсумов	Q4132081	Гайсумов, Дени Хасанович	P54	член спортивной команды	Ахмат	0	0	2002-01-01	2005-01-01	0
[1991, 1995]	гайсумов	Q4132081	Гайсумов, Дени Хасанович	P54	член спортивной команды	Эрзу	0	0	1992-01-01	1995-01-01	0
[1991, 1995]	гайсумов	Q4132081	Гайсумов, Дени Хасанович	P54	член спортивной команды	Ахмат	0	0	1989-01-01	1991-01-01	0
[2001, 2006]	гайсумов	Q4132081	Гайсумов, Дени Хасанович	P54	член спортивной команды	Атырау	0	0	2001-01-01	2001-01-01	0
[1979, 1980]	гайтан	Q209845	Гайтана	P569	дата рождения	0	0	1979-09-29	0	0	0
[1954, 1956]	гайчжоу	Q1331447	Гайчжоу	P131	административно-территориальная единица	Ляодун	0	0	1949-01-01	1954-01-01	0
[1954, 1956]	гайчжоу	Q1331447	Гайчжоу	P131	административно-территориальная единица	Специальный район Ляоян	0	0	1955-01-01	1958-01-01	0
[1932, 1934]	гак	Q12100418	Государственный архив города Киева	P571	дата основания/создания/возникновения	0	0	1932-01-01	0	0	0
[1992, 1996]	гал	Q4132137	Гал	P571	дата основания/создания/возникновения	0	0	1995-01-01	0	0	0
[1992, 1996]	гал	Q236673	Гали	P131	административно-территориальная единица	Гальский район	0	0	1995-01-01	0	0
[2006, 2008]	гала	Q5517751	Гала	P571	дата основания/создания/возникновения	0	0	2007-01-01	0	0	0
[1980, 1984]	галакси	Q3757511	Галакси	P577	дата публикации	0	0	1980-01-01	0	0	0
1949	галактион	Q961031	Галактион	P569	дата рождения	0	0	1949-02-26	0	0	0
1952	галан	Q4132223	Галан, Ярослав Александрович	P569	дата рождения	0	0	1902-07-27	0	0	0
[1946, 1955]	галан	Q4132223	Галан, Ярослав Александрович	P2032	окончание периода активности	0	0	1949-01-01	0	0	0
[1946, 1955]	галан	Q4132223	Галан, Ярослав Александрович	P570	дата смерти	0	0	1949-10-24	0	0	0
[1926, 1930]	галан	Q4132223	Галан, Ярослав Александрович	P2031	начало периода активности	0	0	1927-01-01	0	0	0
[2005, 2006]	галаново	Q12094014	Галаново	P131	административно-территориальная единица	Галановское сельское поселение	0	0	2005-01-01	0	0
1994	галант	Q460767	Галанта	P17	государство	Словакия	0	0	1993-01-01	0	0
[1973, 1978]	галапагос	Q475038	Галапагос	P571	дата основания/создания/возникновения	0	0	1973-01-01	0	0	0
1987	галапагос	Q2527126	Галапагосы	P577	дата публикации	0	0	1985-01-01	0	0	0
[1973, 1978]	галапагос	Q38095	Галапагос	P571	дата основания/создания/возникновения	0	0	1973-01-01	0	0	0
1930	галатея	Q44700231	Галатея	P576	дата прекращения существования	0	0	1830-01-01	0	0	0
[1989, 1998]	галатея	Q19464	Галатея	P575	дата открытия	0	0	1989-07-28	0	0	0
1929	галатея	Q44700231	Галатея	P571	дата основания/создания/возникновения	0	0	1829-01-01	0	0	0
[1959, 1967]	галеев	Q4132311	Галеева, Эльмира Вильевна	P569	дата рождения	0	0	1962-11-28	0	0	0
[2002, 2006]	галенка	Q3018881	Галёнки	P131	административно-территориальная единица	Галёнкинское сельское поселение	0	0	2004-11-10	2015-04-27	0
[2002, 2006]	галенка	Q3018881	Галёнки	P1376	является столицей	Галёнкинское сельское поселение	0	0	2004-11-10	2015-04-27	0
1945	галеркин	Q893667	Галеркин, Борис Григорьевич	P570	дата смерти	0	0	1945-07-12	0	0	0
1945	галеркин	Q893667	Галеркин, Борис Григорьевич	P570	дата смерти	0	0	1945-06-12	0	0	0
[1988, 1990]	галес	Q1061302	(5028) Галес	P575	дата открытия	0	0	1988-01-23	0	0	0
[1964, 1968]	галибин	Q4132413	Галибина, Елена Анатольевна	P569	дата рождения	0	0	1966-04-15	0	0	0
[1933, 1939]	галилей	Q978504	Галилей	P138	названо в честь	Галилео Галилей	0	0	1935-01-01	0	0
[1987, 1991]	галилео	Q182008	Галилео	P793	ключевое событие	запуск ракеты	0	0	0	0	1989-10-18
[2007, 2009]	галилео	Q4132441	Галилео	P580	дата начала	0	0	2007-03-26	0	0	0
[1987, 1991]	галилео	Q182008	Галилео	P619	дата запуска космического корабля	0	0	1989-10-18	0	0	0
[1966, 1970]	галиля	Q276093	Галиль	P571	дата основания/создания/возникновения	0	0	1969-01-01	0	0	0
[1990, 1999]	галиля	Q5518603	Галили	P577	дата публикации	0	0	1998-01-01	0	0	0
1997	галина	Q3734163	Галина	P571	дата основания/создания/возникновения	0	0	1947-01-09	0	0	0
[1991, 1999]	галица	Q4132505	Галица	P17	государство	Украина	0	0	1991-08-24	0	0
[1936, 1941]	галич	Q146450	Галич	P131	административно-территориальная единица	Галичский район	0	0	1940-01-01	0	0
[1936, 1941]	галич	Q146450	Галич	P131	административно-территориальная единица	Станиславский повят	0	0	1920-01-01	1940-01-01	0
1995	галич	Q369732	Галич	P17	государство	Словакия	0	0	1993-01-01	0	0
[2000, 2008]	галичина	Q2037886	Галичина	P571	дата основания/создания/возникновения	0	0	2001-01-01	0	0	0
[1993, 1998]	галичина	Q65435	Галичина	P571	дата основания/создания/возникновения	0	0	1994-01-01	0	0	0
[1938, 1942]	галичина	Q180086	Галиция	P131	административно-территориальная единица	Польская Республика	0	0	1919-01-01	1939-01-01	0
[1955, 1961]	галия	Q148657	(2317) Галия	P575	дата открытия	0	0	1960-09-24	0	0	0
[2000, 2002]	галка	Q25394	галка	P166	полученные награды	Q12047564	0	0	0	0	2001-01-01
[1988, 1993]	галл	Q2814	Галле	P131	административно-территориальная единица	Галле	0	0	1952-07-25	1990-10-03	0
[1988, 1993]	галл	Q48066	Галле	P576	дата прекращения существования	0	0	1990-01-01	0	0	0
[1984, 1985]	галл	Q48066	Галле	P6	глава правительства	Хельмут Клаппрот	0	0	1966-01-01	1984-01-01	0
[1988, 1993]	галл	Q2814	Галле	P17	государство	Германия	0	0	1990-10-03	0	0
[1949, 1951]	галл	Q2814	Галле	P17	государство	Советская зона оккупации Германии	0	0	1945-07-01	1949-10-06	0
[1988, 1993]	галл	Q2814	Галле	P17	государство	ГДР	0	0	1949-10-07	1990-10-02	0
[1953, 1955]	галл	Q147504	(2097) Галле	P575	дата открытия	0	0	1953-08-11	0	0	0
[1988, 1993]	галл	Q48066	Галле	P6	глава правительства	Альфред Колодняк	0	0	1984-01-01	1989-01-01	0
[1935, 1936]	галл	Q1492289	Галле	P138	названо в честь	Иоганн Готтфрид Галле	0	0	1935-01-01	0	0
[1988, 1993]	галл	Q2814	Галле	P131	административно-территориальная единица	Саксония-Анхальт	0	0	1990-10-03	0	0
[1988, 1993]	галл	Q48066	Галле	P6	глава правительства	Клаус Кайтель	0	0	0	0	1990-01-01
[1980, 1989]	галлей	Q23054	Комета Галлея	P793	ключевое событие	пролёт	0	0	0	0	1986-03-08
[1980, 1989]	галлей	Q23054	Комета Галлея	P793	ключевое событие	пролёт	0	0	0	0	1986-03-14
[1989, 2005]	галлиполи	Q994918	Галлиполи	P571	дата основания/создания/возникновения	0	0	1999-01-01	0	0	0
[1965, 1968]	галлир	Q542748	Рикардо Галли	P569	дата рождения	0	0	1965-10-19	0	0	0
1972	галлямов	Q466286	Алиса Михайловна Галлямова	P569	дата рождения	0	0	1972-01-18	0	0	0
[1991, 1995]	галлямов	Q466286	Алиса Михайловна Галлямова	P2962	шахматный титул	международный мастер	0	0	1993-01-01	0	0
[1945, 1949]	галт	Q985262	Галт	P571	дата основания/создания/возникновения	0	0	1946-08-16	0	0	0
1939	гальваностегия	Q6456484	гальванотехника	P61	первооткрыватель или изобретатель	Якоби, Борис Семёнович	0	0	0	0	1839-01-01
1948	галька	Q592291	Галька	P577	дата публикации	0	0	1848-01-01	0	0	0
1948	галька	Q592291	Галька	P1191	первое исполнение	0	0	1848-01-01	0	0	0
[1974, 1982]	гальцов	Q4132906	Гальцов, Дмитрий Владимирович	P512	учёная степень	доктор физико-математических наук	0	0	0	0	1981-01-01
[2003, 2008]	гальчин	Q3597621	(161962) Гальчин	P575	дата открытия	0	0	2007-04-27	0	0	0
