Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1924, 1940]	асср немец	Q157261	Автономная Советская Социалистическая Республика Немцев Поволжья	P31	это частный случай понятия	АССР в составе союзных республик СССР	0	0	1924-01-06	1941-08-28	0
1936	асср татарский	Q1140829	Татарская Автономная Советская Социалистическая Республика	P47	имеет границы с	Самарская область	0	0	1936-12-05	0	0
1936	асср татарский	Q1140829	Татарская Автономная Советская Социалистическая Республика	P47	имеет границы с	Средневолжский край	0	0	1928-05-14	1936-12-05	0
1961	асср тувинский	Q338317	Тувинская Автономная Советская Социалистическая Республика	P571	дата основания/создания/возникновения	0	0	1961-10-09	0	0	0
[1936, 1937]	асср удмуртский	Q1429298	Удмуртская Автономная Советская Социалистическая Республика	P131	административно-территориальная единица	Кировский край	0	0	1934-12-28	1936-12-05	0
[1936, 1937]	асср удмуртский	Q1429298	Удмуртская Автономная Советская Социалистическая Республика	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1936-12-05	0	0
[1936, 1940]	асср чувашский	Q1253541	Чувашская АССР	P47	имеет границы с	Средневолжский край	0	0	1928-05-14	1936-12-05	0
1974	астауров борис	Q4071574	Астауров, Борис Львович	P570	дата смерти	0	0	1974-06-21	0	0	0
1995	астафьев иван	Q4071573	Астафьев, Иван Михеевич	P570	дата смерти	0	0	1945-03-05	0	0	0
[1999, 2003]	астафьев м	Q4071579	Астафьев, Максим Юрьевич	P54	член спортивной команды	Зенит-2 (футбольный клуб)	0	0	2000-01-01	2000-01-01	0
[1999, 2003]	астафьев м	Q4071579	Астафьев, Максим Юрьевич	P54	член спортивной команды	Зенит	0	0	2001-01-01	2004-01-01	0
[2008, 2009]	астафьев м	Q4071579	Астафьев, Максим Юрьевич	P54	член спортивной команды	Ростов	0	0	2008-01-01	2009-01-01	0
[2000, 2004]	астафьев п	Q968184	Виктор Петрович Астафьев	P570	дата смерти	0	0	2001-11-29	0	0	0
[1953, 1957]	астахов в	Q4071602	Астахов, Сергей Валентинович	P569	дата рождения	0	0	1953-11-08	0	0	0
[2005, 2006]	астахов п	Q241995	Полина Григорьевна Астахова	P570	дата смерти	0	0	2005-08-05	0	0	0
1953	астахов с	Q4071602	Астахов, Сергей Валентинович	P569	дата рождения	0	0	1953-11-08	0	0	0
1991	астенический синдром	Q3553801	Астенический синдром	P577	дата публикации	0	0	1990-01-01	0	0	0
1991	астенический синдром	Q3553801	Астенический синдром	P166	полученные награды	гран-при жюри	0	0	0	0	1990-01-01
[1999, 2003]	астма бронхиальный	Q35869	бронхиальная астма	P2176	лекарство, используемое для лечения	будесонид	0	0	2000-08-08	0	0
[1996, 1997]	астма бронхиальный	Q35869	бронхиальная астма	P2176	лекарство, используемое для лечения	zileuton	0	0	1996-12-08	0	0
[1957, 1962]	астма бронхиальный	Q35869	бронхиальная астма	P2176	лекарство, используемое для лечения	Бетаметазон	0	0	1961-04-17	0	0
[1996, 1997]	астма бронхиальный	Q35869	бронхиальная астма	P2176	лекарство, используемое для лечения	зафирлукаст	0	0	1996-09-25	0	0
[1999, 2003]	астма бронхиальный	Q35869	бронхиальная астма	P2176	лекарство, используемое для лечения	Формотерол	0	0	2001-02-15	0	0
[1981, 1983]	астрахан д	Q4071683	Астрахан, Дмитрий Хананович	P2031	начало периода активности	0	0	1981-01-01	0	0	0
1924	астраханский губерния	Q497790	Астраханская губерния	P131	административно-территориальная единица	Российская Социалистическая Федеративная Советская Республика	0	0	1917-11-07	1922-12-29	0
1924	астраханский губерния	Q497790	Астраханская губерния	P17	государство	Российская Социалистическая Федеративная Советская Республика	0	0	1917-11-07	1922-12-29	0
1924	астраханский губерния	Q497790	Астраханская губерния	P17	государство	СССР	0	0	1922-12-30	1928-05-21	0
1924	астраханский губерния	Q497790	Астраханская губерния	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1922-12-30	1928-05-21	0
[1923, 1924]	астраханский область	Q4381912	Проточное	P571	дата основания/создания/возникновения	0	0	1923-01-01	0	0	0
[1923, 1924]	астраханский область	Q4445361	Судачье	P571	дата основания/создания/возникновения	0	0	1923-01-01	0	0	0
1993	астраханский область	Q3941	Астраханская область	P571	дата основания/создания/возникновения	0	0	1943-12-27	0	0	0
1993	астраханский область	Q3941	Астраханская область	P131	административно-территориальная единица	Россия	0	0	1991-12-26	0	0
[1942, 1954]	астраханский область	Q141290	Знаменск	P571	дата основания/создания/возникновения	0	0	1948-01-01	0	0	0
[1942, 1954]	астраханский область	Q4378380	Прикаспийский	P571	дата основания/создания/возникновения	0	0	1944-01-01	0	0	0
[1987, 2000]	астраханский область	Q18405824	Чаган	P131	административно-территориальная единица	Чаганский сельсовет	0	0	1989-10-24	0	0
1929	астраханский округ	Q4071726	Астраханский округ	P131	административно-территориальная единица	Нижне-Волжский край	0	0	1928-07-23	1930-07-30	0
1929	астраханский округ	Q4071726	Астраханский округ	P571	дата основания/создания/возникновения	0	0	1928-07-23	0	0	0
1930	астраханский округ	Q4071726	Астраханский округ	P576	дата прекращения существования	0	0	1930-07-30	0	0	0
1997	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	международная премия «Швед года»	0	0	0	0	1997-01-01
[1985, 1987]	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	Illis Quorum	0	0	0	0	1985-01-01
[1985, 1987]	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	премия Сельмы Лагерлёф	0	0	0	0	1986-01-01
[1958, 1959]	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	премия имени Х. К. Андерсена	0	0	0	0	1958-01-01
[1975, 1977]	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	медаль Литературы и искусств	0	0	0	0	1975-01-01
1969	астрид линдгрен	Q55767	Астрид Линдгрен	P166	полученные награды	орден Васы	0	0	0	0	1968-01-01
1965	астрид линдгрен	Q4962716	Астрид Линдгрен	P570	дата смерти	0	0	1965-04-22	0	0	0
2004	астрид линдгрен	Q55767	Астрид Линдгрен	P570	дата смерти	0	0	2002-01-28	0	0	0
[1934, 1935]	астровый н	Q4071766	Астров, Николай Иванович	P570	дата смерти	0	0	1934-08-12	0	0	0
[1991, 1994]	астровый н	Q1990688	Николай Александрович Астров	P570	дата смерти	0	0	1992-04-04	0	0	0
[1986, 1994]	астровый николай	Q1990688	Николай Александрович Астров	P570	дата смерти	0	0	1992-04-04	0	0	0
2000	астроном уильям	Q16692172	Уильям Ричардсон	P570	дата смерти	0	0	1900-01-01	0	0	0
1924	астрономический журнал	Q3027134	Астрономический журнал	P571	дата основания/создания/возникновения	0	0	1924-01-01	0	0	0
[2003, 2007]	астрономический часы	Q729370	Пражские куранты	P793	ключевое событие	repair	0	0	0	0	2005-01-01
1949	астрономический часы	Q729370	Пражские куранты	P793	ключевое событие	repair	0	0	0	0	1948-01-01
[1944, 1955]	астрофизический обсерватория	Q936126	Крымская астрофизическая обсерватория	P1619	дата официального открытия	0	0	1945-01-01	0	0	0
[1944, 1955]	астрофизический обсерватория	Q1018734	Бюраканская астрофизическая обсерватория	P571	дата основания/создания/возникновения	0	0	1946-01-01	0	0	0
[1931, 1936]	астрофизический обсерватория	Q2426436	Абастуманская астрофизическая обсерватория	P571	дата основания/создания/возникновения	0	0	1932-02-08	0	0	0
[2008, 2009]	асфальтовый джунгли	Q728485	Асфальтовые джунгли	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	2008-01-01
[1963, 1964]	асфандияров р	Q4071831	Асфандиярова, Рима Газизовна	P2031	начало периода активности	0	0	1963-01-01	0	0	0
[1925, 1929]	асхабадский уезд	Q4071838	Асхабадский уезд	P576	дата прекращения существования	0	0	1925-01-01	0	0	0
[1925, 1929]	асхабадский уезд	Q4071838	Асхабадский уезд	P131	административно-территориальная единица	Полторацкий округ	0	0	1924-12-01	1925-01-01	0
1998	ашальча ока	Q2918459	Ашальчи Оки	P569	дата рождения	0	0	1898-04-16	0	0	0
[1969, 1974]	ашальча ока	Q2918459	Ашальчи Оки	P570	дата смерти	0	0	1973-10-31	0	0	0
1944	ашевский район	Q4073441	Ашевский район	P131	административно-территориальная единица	Тверская область	0	0	1938-05-05	1944-08-22	0
[1961, 1965]	ашевский район	Q4073441	Ашевский район	P576	дата прекращения существования	0	0	1963-01-01	0	0	0
1944	ашевский район	Q4073441	Ашевский район	P131	административно-территориальная единица	Псковская область	0	0	1944-08-23	1963-01-01	0
1998	ашинский металлургический	Q4073471	Ашинский металлургический завод	P571	дата основания/создания/возникновения	0	0	1898-01-01	0	0	0
[1961, 1963]	ашинский район	Q1192829	Ашинский район	P571	дата основания/создания/возникновения	0	0	1961-01-01	0	0	0
1979	ашихмин а	Q4073487	Ашихмин, Сергей Анатольевич	P569	дата рождения	0	0	1977-12-23	0	0	0
1951	ашкинази м	Q4073501	Михаил Ашкинази	P569	дата рождения	0	0	1851-04-04	0	0	0
2005	ашок кумар	Q4805749	Ашок Кумар	P39	занимаемая должность	Member of the 53rd Parliament of the United Kingdom	0	0	2001-06-07	2005-04-11	0
2005	ашок кумар	Q4805749	Ашок Кумар	P39	занимаемая должность	Member of the 54th Parliament of the United Kingdom	0	0	2005-05-05	2010-03-15	0
[1968, 1969]	ашот тигранович	Q27506930	Ашот  Асланян	P463	участник организации или клуба	Q13053604	0	0	1968-01-01	0	0
[1960, 1963]	ашот тигранович	Q27506930	Ашот  Асланян	P166	полученные награды	Заслуженный деятель науки Армянской ССР	0	0	0	0	1961-01-01
[1960, 1963]	ашот тигранович	Q27506930	Ашот  Асланян	P512	учёная степень	профессор	0	0	0	0	1960-01-01
1973	ашукин н	Q4073565	Николай Сергеевич Ашукин	P570	дата смерти	0	0	1972-02-09	0	0	0
[1972, 1973]	ашукин николай	Q4073565	Николай Сергеевич Ашукин	P570	дата смерти	0	0	1972-02-09	0	0	0
[1948, 1954]	ашхабадский землетрясение	Q2391429	Ашхабадское землетрясение	P585	момент времени	0	0	1948-10-05	0	0	0
1941	ашхабадский область	Q4073598	Ашхабадская область	P131	административно-территориальная единица	Туркменская Советская Социалистическая Республика	0	0	1939-11-21	1959-05-25	0
1941	ашхабадский область	Q4073598	Ашхабадская область	P571	дата основания/создания/возникновения	0	0	1939-11-21	0	0	0
1986	я шведов	Q4521706	Шведов, Яков Захарович	P570	дата смерти	0	0	1984-12-31	0	0	0
1939	ясенский б	Q993397	Бруно Яковлевич Ясенский	P570	дата смерти	0	0	1938-09-17	0	0	0
